SYMBOL,HIGH,LOW,DAILY RANGE
EBBETF0430,1006.84,1005.02,1.8200073
EC2RG,6.6,6.45,0.1500001
ECLERX,676.1,661,15.099976
ECLFINANCE,1010,997.5,12.5
ECLFINANCE,1947,1920,27.0
ECLFINANCE,1010,1004,6.0
ECLFINANCE,1075,1065,10.0
ECLFINANCE,1640,1610,30.0
ECLFINANCE,1085,1074,11.0
ECLFINANCE,990,933,57.0
ECLFINANCE,935.9,851,84.900024
ECLFINANCE,1039.9,1039.9,0.0
ECLFINANCE,929,929,0.0
ECLFINANCE,875,875,0.0
ECLFINANCE,860,860,0.0
ECLFINANCE,940,940,0.0
ECLFINANCE,1080,970,110.0
ECLFINANCE,948.98,935,13.97998
ECLFINANCE,921,915,6.0
ECLFINANCE,989,950,39.0
ECLFINANCE,975,951,24.0
EDELWEISS,101.4,97.1,4.300003
EDL,4,3.8,0.20000005
EDUCOMP,1.15,1.05,0.100000024
EHFLNCD,888,884.99,3.0100098
EICHERMOT,21236,20100,1136.0
EIDPARRY,230,224.1,5.899994
EIFFL,113.5,113,0.5
EIHAHOTELS,307.95,300.4,7.5500183
EIHOTEL,147.4,145.15,2.25
EIMCOELECO,337.8,322.7,15.099976
EKC,29,28,1.0
ELECON,39.2,38,1.2000008
ELECTCAST,16,15.25,0.75
ELECTHERM,138.95,136.95,2.0
ELGIEQUIP,259,250.45,8.550003
ELGIRUBCO,18.65,17.85,0.79999924
EMAMILTD,325.75,317.4,8.350006
EMAMIPAP,131.05,131.05,0.0
EMAMIREAL,80.05,78.95,1.1000061
EMBASSY,423.97,416.9,7.0700073
EMCO,0.7,0.6,0.099999964
EMKAY,68.45,64.9,3.5499954
EMKAYTOOLS,110,110,0.0
EMMBI,114.85,112.45,2.4000015
EMOFSR1RDP,9.18,9.16,0.020000458
EMOFSR1RGG,9.22,9.11,0.11000061
ENDURANCE,1176.45,1116.7,59.75
ENERGYDEV,6,5.8,0.19999981
ENGINERSIN,99.4,96.5,2.9000015
ENIL,263.8,252.7,11.099991
EON,14.9,14.35,0.54999924
EQ30,346.9,336,10.899994
EQUITAS,114.75,111.45,3.300003
ERFLNCDI,1025,1007,18.0
ERFLNCDI,918.8,909,9.799988
ERFLNCDI,860,860,0.0
ERFLNCDI,888,879.99,8.01001
ERIS,546.6,501.1,45.49997
EROSMEDIA,14.6,14.25,0.35000038
ESABINDIA,1549.8,1455,94.80005
ESCORTS,755,724.2,30.799988
ESSARSHPNG,7.5,6.95,0.5500002
ESSELPACK,191.7,180.85,10.849991
ESTER,42.8,41.9,0.8999977
EUROCERA,0.5,0.45,0.050000012
EUROMULTI,0.55,0.45,0.100000024
EUROTEXIND,10.55,10.2,0.35000038
EVEREADY,55.35,54.3,1.0499992
EVERESTIND,305,286.5,18.5
EXCEL,1.15,1.05,0.100000024
EXCELINDUS,949.75,932.85,16.900024
EXIDEIND,205.3,202.1,3.199997
EXPLEOSOL,312.9,297.5,15.399994
FACT,51.3,48.6,2.7000008
FAIRCHEM,503.8,480,23.799988
FCL,30.4,29.6,0.79999924
FCONSUMER,24.6,23.9,0.70000076
FCSSOFT,0.25,0.2,0.049999997
FDC,230.5,227,3.5
FEDERALBNK,96.35,94.55,1.7999954
FEL,24.7,23.8,0.9000015
FELDVR,23.75,22.8,0.95000076
FIEMIND,498.4,487.3,11.100006
FILATEX,39.05,38.5,0.54999924
FINCABLES,414.8,400,14.799988
FINEORG,2479,2314.4,164.6001
FINPIPE,581,557.1,23.900024
FLEXITUFF,7.4,6.75,0.6500001
FLFL,416.95,411.6,5.350006
FLUOROCHEM,613,591.3,21.700012
FMGOETZE,627.85,606.7,21.149963
FMNL,27.15,24.6,2.5499992
FOCUS,32.45,32.45,0.0
FORCEMOT,1363.3,1307.15,56.150024
FORTIS,156.8,154.65,2.1500092
FOSECOIND,1630,1546.35,83.650024
FOURTHDIM,6.3,6.3,0.0
FRETAIL,341.3,329.5,11.799988
FSC,450.2,444.25,5.950012
FSL,44.45,42.3,2.1500015
GABRIEL,120.95,117.55,3.399994
GAEL,160.75,142.55,18.199997
GAIL,128.85,125.6,3.2500076
GAL,2.45,2.3,0.1500001
GALAXYSURF,1599.9,1555,44.900024
GALLANTT,31.5,28.25,3.25
GALLISPAT,26.7,26,0.70000076
GAMMNINFRA,0.4,0.35,0.050000012
GANDHITUBE,278.9,271,7.899994
GANECOS,297.5,290,7.5
